geo_unit,geo_id,geo_name,age_group,smi_bracket,subsidy,unserved_estimate,private_pay_estimate,served_est,percent
County,53001.0,Adams County,Infant,<=60% of SMI,15.0,275,0,15.0,0.051724137931034
County,53001.0,Adams County,Infant,>60% and <=75% of SMI,0.0,24,0,0.0,0.0
County,53001.0,Adams County,Infant,>75% and <=85% of SMI,0.0,8,3,3.0,0.0
County,53001.0,Adams County,Infant,>85% of SMI,0.0,22,14,14.0,0.0
County,53001.0,Adams County,Preschool,<=60% of SMI,185.0,433,0,185.0,0.299352750809061
County,53001.0,Adams County,Preschool,>60% and <=75% of SMI,0.0,35,0,0.0,0.0
County,53001.0,Adams County,Preschool,>75% and <=85% of SMI,0.0,14,8,0.0,0.0
County,53001.0,Adams County,Preschool,>85% of SMI,0.0,50,30,0.0,0.0
County,53001.0,Adams County,School Age,<=60% of SMI,127.0,2231,0,127.0,0.053859202714164
County,53001.0,Adams County,School Age,>60% and <=75% of SMI,0.0,324,0,0.0,0.0
County,53001.0,Adams County,School Age,>75% and <=85% of SMI,0.0,104,21,21.0,0.0
County,53001.0,Adams County,School Age,>85% of SMI,0.0,307,40,40.0,0.0
County,53001.0,Adams County,Toddler,<=60% of SMI,46.0,538,0,46.0,0.078767123287671
County,53001.0,Adams County,Toddler,>60% and <=75% of SMI,0.0,37,0,0.0,0.0
County,53001.0,Adams County,Toddler,>75% and <=85% of SMI,0.0,9,4,0.0,0.0
County,53001.0,Adams County,Toddler,>85% of SMI,0.0,46,40,40.0,0.0
County,53003.0,Asotin County,Infant,<=60% of SMI,16.0,119,0,16.0,0.118518518518518
County,53003.0,Asotin County,Infant,>60% and <=75% of SMI,0.0,32,0,0.0,0.0
County,53003.0,Asotin County,Infant,>75% and <=85% of SMI,0.0,10,8,8.0,0.0
County,53003.0,Asotin County,Infant,>85% of SMI,0.0,21,14,14.0,0.0
County,53003.0,Asotin County,Preschool,<=60% of SMI,101.0,181,0,101.0,0.358156028368794
County,53003.0,Asotin County,Preschool,>60% and <=75% of SMI,0.0,63,0,0.0,0.0
County,53003.0,Asotin County,Preschool,>75% and <=85% of SMI,0.0,8,31,31.0,0.0
County,53003.0,Asotin County,Preschool,>85% of SMI,0.0,22,50,50.0,0.0
County,53003.0,Asotin County,School Age,<=60% of SMI,50.0,1061,0,50.0,0.045004500450045
County,53003.0,Asotin County,School Age,>60% and <=75% of SMI,0.0,215,0,0.0,0.0
County,53003.0,Asotin County,School Age,>75% and <=85% of SMI,0.0,224,26,26.0,0.0
County,53003.0,Asotin County,School Age,>85% of SMI,0.0,348,57,57.0,0.0
County,53003.0,Asotin County,Toddler,<=60% of SMI,35.0,242,0,35.0,0.126353790613718
County,53003.0,Asotin County,Toddler,>60% and <=75% of SMI,0.0,53,0,0.0,0.0
County,53003.0,Asotin County,Toddler,>75% and <=85% of SMI,0.0,15,20,20.0,0.0
County,53003.0,Asotin County,Toddler,>85% of SMI,0.0,31,42,42.0,0.0
County,53005.0,Benton County,Infant,<=60% of SMI,61.0,1291,0,61.0,0.045118343195266
County,53005.0,Benton County,Infant,>60% and <=75% of SMI,0.0,373,0,0.0,0.0
County,53005.0,Benton County,Infant,>75% and <=85% of SMI,0.0,178,35,35.0,0.0
County,53005.0,Benton County,Infant,>85% of SMI,0.0,791,92,92.0,0.0
County,53005.0,Benton County,Preschool,<=60% of SMI,1112.0,1745,0,1112.0,0.389219460973048
County,53005.0,Benton County,Preschool,>60% and <=75% of SMI,10.0,779,0,10.0,0.012674271229404
County,53005.0,Benton County,Preschool,>75% and <=85% of SMI,0.0,300,144,0.0,0.0
